Cidade,Uf,mes/ano,pedidos
GUARULHOS,SP,01/10/2022,135.858
CAMPINAS,SP,01/10/2022,388.552
SAO LUIS,MA,01/10/2022,166.925
SAO GONCALO,RJ,01/10/2022,186.042
MACEIO,AL,01/10/2022,106.043
DUQUE DE CAXIAS,RJ,01/10/2022,82.358
NATAL,RN,01/10/2022,258.052
TERESINA,PI,01/10/2022,265.588
NOVA IGUACU,RJ,01/10/2022,39.754
CAMPO GRANDE,MS,01/10/2022,203.698
JOAO PESSOA,PB,01/10/2022,329.891
SAO BERNARDO DO CAMPO,SP,01/10/2022,369.865
OSASCO,SP,01/10/2022,93.849
SANTO ANDRE,SP,01/10/2022,212.446
JABOATAO DOS GUARARAPES,PE,01/10/2022,74.083
SAO JOSE DOS CAMPOS,SP,01/10/2022,341.874
CONTAGEM,MG,01/10/2022,54.431
RIBEIRAO PRETO,SP,01/10/2022,235.369
UBERLANDIA,MG,01/10/2022,298.603
SOROCABA,SP,01/10/2022,381.591
ARACAJU,SE,01/10/2022,72.151
CUIABA,MT,01/10/2022,136.229
FEIRA DE SANTANA,BA,01/10/2022,85.438
JUIZ DE FORA,MG,01/10/2022,244.292
JOINVILLE,SC,01/10/2022,55.553
LONDRINA,PR,01/10/2022,213.996
BELFORD ROXO,RJ,01/10/2022,39.175
ANANINDEUA,PA,01/10/2022,80.777
SAO JOAO DE MERITI,RJ,01/10/2022,20.068
APARECIDA DE GOIANIA,GO,01/10/2022,52.648
NITEROI,RJ,01/10/2022,318.545
CAMPOS DOS GOYTACAZES,RJ,01/10/2022,148.611
CAXIAS DO SUL,RS,01/10/2022,33.299
MAUA,SP,01/10/2022,70.924
FLORIANOPOLIS,SC,01/10/2022,378.210
VILA VELHA,ES,01/10/2022,241.992
SANTOS,SP,01/10/2022,63.915
SAO JOSE DO RIO PRETO,SP,01/10/2022,112.645
PORTO VELHO,RO,01/10/2022,106.864
SERRA,ES,01/10/2022,140.726
DIADEMA,SP,01/10/2022,31.692
OLINDA,PE,01/10/2022,37.324
MACAPA,AP,01/10/2022,44.593
BETIM,MG,01/10/2022,125.021
CAMPINA GRANDE,PB,01/10/2022,45.225
MOGI DAS CRUZES,SP,01/10/2022,90.345
CARAPICUIBA,SP,01/10/2022,116.224
PIRACICABA,SP,01/10/2022,211.987
MONTES CLAROS,MG,01/10/2022,32.763
JUNDIAI,SP,01/10/2022,136.565
MARINGA,PR,01/10/2022,267.724
CARIACICA,ES,01/10/2022,66.038
BAURU,SP,01/10/2022,43.862
ANAPOLIS,GO,01/10/2022,61.251
RIO BRANCO,AC,01/10/2022,79.465
CANOAS,RS,01/10/2022,145.166
SAO VICENTE,SP,01/10/2022,17.473
VITORIA,ES,01/10/2022,140.196
PELOTAS,RS,01/10/2022,84.751
FRANCA,SP,01/10/2022,140.455
ITAQUAQUECETUBA,SP,01/10/2022,13.905
BLUMENAU,SC,01/10/2022,75.776
PONTA GROSSA,PR,01/10/2022,82.930
CARUARU,PE,01/10/2022,105.798
CAUCAIA,CE,01/10/2022,7.605
RIBEIRAO DAS NEVES,MG,01/10/2022,22.647
VITORIA DA CONQUISTA,BA,01/10/2022,69.859
PAULISTA,PE,01/10/2022,55.635
PETROPOLIS,RJ,01/10/2022,20.392
GUARUJA,SP,01/10/2022,36.478
UBERABA,MG,01/10/2022,113.637
PETROLINA,PE,01/10/2022,67.226
BOA VISTA,RR,01/10/2022,17.158
TAUBATE,SP,01/10/2022,70.269
CASCAVEL,PR,01/10/2022,106.574
SANTAREM,PA,01/10/2022,53.459
LIMEIRA,SP,01/10/2022,44.582
SUZANO,SP,01/10/2022,45.800
SAO JOSE DOS PINHAIS,PR,01/10/2022,87.802
PRAIA GRANDE,SP,01/10/2022,153.784
GOVERNADOR VALADARES,MG,01/10/2022,27.539
VOLTA REDONDA,RJ,01/10/2022,42.796
GRAVATAI,RS,01/10/2022,58.708
MOSSORO,RN,01/10/2022,60.017
SANTA MARIA,RS,01/10/2022,16.805
FOZ DO IGUACU,PR,01/10/2022,62.608
VARZEA GRANDE,MT,01/10/2022,33.458
NOVO HAMBURGO,RS,01/10/2022,112.634
IMPERATRIZ,MA,01/10/2022,12.684
JUAZEIRO DO NORTE,CE,01/10/2022,39.369
SUMARE,SP,01/10/2022,72.182
BARUERI,SP,01/10/2022,203.642
IPATINGA,MG,01/10/2022,22.341
CAMACARI,BA,01/10/2022,24.996
VIAMAO,RS,01/10/2022,24.101
EMBU DAS ARTES,SP,01/10/2022,42.219
ITABORAI,RJ,01/10/2022,8.412
TABOAO DA SERRA,SP,01/10/2022,38.402
MAGE,RJ,01/10/2022,19.162
MARABA,PA,01/10/2022,31.409
PALMAS,TO,01/10/2022,18.577
SAO CARLOS,SP,01/10/2022,83.427
COLOMBO,PR,01/10/2022,41.570
ARAPIRACA,AL,01/10/2022,53.776
MARILIA,SP,01/10/2022,32.858
SETE LAGOAS,MG,01/10/2022,35.680
SAO LEOPOLDO,RS,01/10/2022,61.561
DIVINOPOLIS,MG,01/10/2022,83.926
MARACANAU,CE,01/10/2022,7.964
AMERICANA,SP,01/10/2022,62.057
JACAREI,SP,01/10/2022,66.976
ITAPEVI,SP,01/10/2022,57.503
PARNAMIRIM,RN,01/10/2022,20.331
PRESIDENTE PRUDENTE,SP,01/10/2022,70.277
ARARAQUARA,SP,01/10/2022,86.677
MACAE,RJ,01/10/2022,84.791
ITABUNA,BA,01/10/2022,7.751
SAO JOSE,SC,01/10/2022,80.229
SANTA LUZIA,MG,01/10/2022,21.469
INDAIATUBA,SP,01/10/2022,135.734
ALVORADA,RS,01/10/2022,8.898
COTIA,SP,01/10/2022,51.243
JUAZEIRO,BA,01/10/2022,19.165
HORTOLANDIA,SP,01/10/2022,87.764
RIO GRANDE,RS,01/10/2022,13.636
DOURADOS,MS,01/10/2022,36.776
CRICIUMA,SC,01/10/2022,42.830
RONDONOPOLIS,MT,01/10/2022,43.624
CACHOEIRO DE ITAPEMIRIM,ES,01/10/2022,11.311
CABO FRIO,RJ,01/10/2022,35.371
RIO CLARO,SP,01/10/2022,65.080
SOBRAL,CE,01/10/2022,28.211
SANTA BARBARA DOESTE,SP,01/10/2022,16.232
PASSO FUNDO,RS,01/10/2022,39.162
ARACATUBA,SP,01/10/2022,75.746
CHAPECO,SC,01/10/2022,35.250
ITAJAI,SC,01/10/2022,26.959
ILHEUS,BA,01/10/2022,11.334
CABO DE SANTO AGOSTINHO,PE,01/10/2022,13.229
MESQUITA,RJ,01/10/2022,43.689
FERRAZ DE VASCONCELOS,SP,01/10/2022,11.205
NOVA FRIBURGO,RJ,01/10/2022,17.182
BARRA MANSA,RJ,01/10/2022,25.705
LAURO DE FREITAS,BA,01/10/2022,55.316
CASTANHAL,PA,01/10/2022,5.661
RIO VERDE,GO,01/10/2022,17.778
IBIRITE,MG,01/10/2022,20.119
ANGRA DOS REIS,RJ,01/10/2022,19.791
LUZIANIA,GO,01/10/2022,4.423
GUARAPUAVA,PR,01/10/2022,15.509
FRANCISCO MORATO,SP,01/10/2022,26.578
NOSSA SENHORA DO SOCORRO,SE,01/10/2022,32.998
AGUAS LINDAS DE GOIAS,GO,01/10/2022,5.005
CAMARAGIBE,PE,01/10/2022,8.810
TERESOPOLIS,RJ,01/10/2022,46.418
LAGES,SC,01/10/2022,20.770
ITU,SP,01/10/2022,17.693
PARAUAPEBAS,PA,01/10/2022,19.854
POCOS DE CALDAS,MG,01/10/2022,48.547
TIMON,MA,01/10/2022,9.407
NILOPOLIS,RJ,01/10/2022,12.455
JEQUIE,BA,01/10/2022,8.621
CAXIAS,MA,01/10/2022,8.353
SAO JOSE DE RIBAMAR,MA,01/10/2022,20.261
PINDAMONHANGABA,SP,01/10/2022,7.670
BRAGANCA PAULISTA,SP,01/10/2022,38.525
PARNAIBA,PI,01/10/2022,7.985
SAO CAETANO DO SUL,SP,01/10/2022,148.344
QUEIMADOS,RJ,01/10/2022,5.328
ITAPETININGA,SP,01/10/2022,19.931
PARANAGUA,PR,01/10/2022,24.959
JARAGUA DO SUL,SC,01/10/2022,43.119
LINHARES,ES,01/10/2022,7.197
PALHOCA,SC,01/10/2022,46.122
TEIXEIRA DE FREITAS,BA,01/10/2022,23.617
VALPARAISO DE GOIAS,GO,01/10/2022,33.956
PATOS DE MINAS,MG,01/10/2022,14.663
ALAGOINHAS,BA,01/10/2022,2.668
MOGI GUACU,SP,01/10/2022,36.862
ITAPECERICA DA SERRA,SP,01/10/2022,26.766
ABAETETUBA,PA,01/10/2022,670
ARAGUAINA,TO,01/10/2022,7.376
TEOFILO OTONI,MG,01/10/2022,12.379
SAPUCAIA DO SUL,RS,01/10/2022,33.125
JAU,SP,01/10/2022,13.140
BARREIRAS,BA,01/10/2022,10.029
POUSO ALEGRE,MG,01/10/2022,39.830
VITORIA DE SANTO ANTAO,PE,01/10/2022,16.059
MARICA,RJ,01/10/2022,13.240
BOTUCATU,SP,01/10/2022,26.396
BARBACENA,MG,01/10/2022,8.953
GARANHUNS,PE,01/10/2022,30.962
ATIBAIA,SP,01/10/2022,21.718
PORTO SEGURO,BA,01/10/2022,9.398
VARGINHA,MG,01/10/2022,35.118
URUGUAIANA,RS,01/10/2022,10.470
APUCARANA,PR,01/10/2022,8.154
CUBATAO,SP,01/10/2022,6.713
SANTA RITA,PB,01/10/2022,7.768
RESENDE,RJ,01/10/2022,36.012
ARAUCARIA,PR,01/10/2022,10.717
ARARAS,SP,01/10/2022,19.493
CRATO,CE,01/10/2022,17.903
PINHAIS,PR,01/10/2022,46.782
CACHOEIRINHA,RS,01/10/2022,10.568
SABARA,MG,01/10/2022,5.817
SANTA CRUZ DO SUL,RS,01/10/2022,13.444
CONSELHEIRO LAFAIETE,MG,01/10/2022,20.712
SIMOES FILHO,BA,01/10/2022,1.520
CAMETA,PA,01/10/2022,1.372
BAGE,RS,01/10/2022,9.166
TOLEDO,PR,01/10/2022,42.376
FRANCO DA ROCHA,SP,01/10/2022,9.954
CATANDUVA,SP,01/10/2022,19.477
VARZEA PAULISTA,SP,01/10/2022,30.800
SANTANA DE PARNAIBA,SP,01/10/2022,95.048
GUARATINGUETA,SP,01/10/2022,12.444
ITAPIPOCA,CE,01/10/2022,2.048
BARRETOS,SP,01/10/2022,32.917
MARITUBA,PA,01/10/2022,4.245
SERTAOZINHO,SP,01/10/2022,8.296
BAYEUX,PB,01/10/2022,3.639
SINOP,MT,01/10/2022,57.434
VOTORANTIM,SP,01/10/2022,43.207
CODO,MA,01/10/2022,531
ITAGUAI,RJ,01/10/2022,9.156
JI PARANA,RO,01/10/2022,9.722
MARANGUAPE,CE,01/10/2022,3.302
ITABIRA,MG,01/10/2022,4.835
BIRIGUI,SP,01/10/2022,15.014
ARARUAMA,RJ,01/10/2022,16.636
BRAGANCA,PA,01/10/2022,3.792
CAMPO LARGO,PR,01/10/2022,8.273
PACO DO LUMIAR,MA,01/10/2022,3.989
ARAGUARI,MG,01/10/2022,17.535
SALTO,SP,01/10/2022,39.940
VESPASIANO,MG,01/10/2022,2.909
SAO MATEUS,ES,01/10/2022,7.758
PASSOS,MG,01/10/2022,19.634
VALINHOS,SP,01/10/2022,65.106
TATUI,SP,01/10/2022,9.225
ALMIRANTE TAMANDARE,PR,01/10/2022,7.234
RIO DAS OSTRAS,RJ,01/10/2022,43.564
CORONEL FABRICIANO,MG,01/10/2022,25.826
BRUSQUE,SC,01/10/2022,4.367
COLATINA,ES,01/10/2022,4.824
BENTO GONCALVES,RS,01/10/2022,28.072
TRINDADE,GO,01/10/2022,17.240
RIBEIRAO PIRES,SP,01/10/2022,7.088
ARAPONGAS,PR,01/10/2022,16.315
PAULO AFONSO,BA,01/10/2022,5.440
POA,SP,01/10/2022,35.034
GUARAPARI,ES,01/10/2022,8.249
CARAGUATATUBA,SP,01/10/2022,17.104
OURINHOS,SP,01/10/2022,21.961
BALNEARIO CAMBORIU,SC,01/10/2022,133.230
SANTANA,AP,01/10/2022,1.150
ITATIBA,SP,01/10/2022,16.517
BARCARENA,PA,01/10/2022,2.835
UMUARAMA,PR,01/10/2022,17.602
PATOS,PB,01/10/2022,1.983
MURIAE,MG,01/10/2022,13.062
IGARASSU,PE,01/10/2022,6.401
UBA,MG,01/10/2022,24.005
NOVO GAMA,GO,01/10/2022,730
ACAILANDIA,MA,01/10/2022,2.046
TRES LAGOAS,MS,01/10/2022,12.756
EUNAPOLIS,BA,01/10/2022,13.248
FORMOSA,GO,01/10/2022,5.491
CORUMBA,MS,01/10/2022,7.678
SAO LOURENCO DA MATA,PE,01/10/2022,4.937
JAPERI,RJ,01/10/2022,7.918
TUBARAO,SC,01/10/2022,7.424
CAMBE,PR,01/10/2022,21.300
ABREU E LIMA,PE,01/10/2022,5.017
GUAIBA,RS,01/10/2022,10.583
BACABAL,MA,01/10/2022,1.612
ERECHIM,RS,01/10/2022,4.252
PARINTINS,AM,01/10/2022,492
ITUIUTABA,MG,01/10/2022,19.738
JANDIRA,SP,01/10/2022,9.237
ASSIS,SP,01/10/2022,22.504
TUCURUI,PA,01/10/2022,991
CAIEIRAS,SP,01/10/2022,38.004
ARAXA,MG,01/10/2022,8.577
LAVRAS,MG,01/10/2022,3.637
BARRA DO PIRAI,RJ,01/10/2022,1.754
IGUATU,CE,01/10/2022,9.091
SANTA CRUZ DO CAPIBARIBE,PE,01/10/2022,1.103
ITAPERUNA,RJ,01/10/2022,10.968
ALTAMIRA,PA,01/10/2022,4.391
LEME,SP,01/10/2022,18.930
LAGARTO,SE,01/10/2022,627
ITUMBIARA,GO,01/10/2022,7.847
PARAGOMINAS,PA,01/10/2022,4.522
SANTO ANTONIO DE JESUS,BA,01/10/2022,6.259
ITAJUBA,MG,01/10/2022,7.090
ITAITUBA,PA,01/10/2022,472
PIRAQUARA,PR,01/10/2022,11.903
ITANHAEM,SP,01/10/2022,21.347
SAO GONCALO DO AMARANTE,RN,01/10/2022,2.389
ITAPEVA,SP,01/10/2022,8.536
CAMPO MOURAO,PR,01/10/2022,17.441
SARANDI,PR,01/10/2022,36.941
SAO PEDRO DA ALDEIA,RJ,01/10/2022,4.617
SENADOR CANEDO,GO,01/10/2022,9.655
ITABAIANA,SE,01/10/2022,788
ITAUNA,MG,01/10/2022,15.548
CATALAO,GO,01/10/2022,6.801
ARIQUEMES,RO,01/10/2022,6.282
VOTUPORANGA,SP,01/10/2022,15.964
CACAPAVA,SP,01/10/2022,14.638
JATAI,GO,01/10/2022,5.701
VALENCA,BA,01/10/2022,1.064
MOGI MIRIM,SP,01/10/2022,19.973
SAO JOAO DA BOA VISTA,SP,01/10/2022,37.612
PAULINIA,SP,01/10/2022,14.997
SAO JOAO DEL REI,MG,01/10/2022,4.257
ITACOATIARA,AM,01/10/2022,143
LORENA,SP,01/10/2022,27.830
ESTEIO,RS,01/10/2022,7.175
TIMOTEO,MG,01/10/2022,8.786
FAZENDA RIO GRANDE,PR,01/10/2022,25.182
PARA DE MINAS,MG,01/10/2022,13.083
MAIRIPORA,SP,01/10/2022,3.164
CANDEIAS,BA,01/10/2022,1.122
BREVES,PA,01/10/2022,401
TANGARA DA SERRA,MT,01/10/2022,11.216
PARANAVAI,PR,01/10/2022,4.750
CARATINGA,MG,01/10/2022,11.303
AVARE,SP,01/10/2022,17.478
CACERES,MT,01/10/2022,1.927
PARACATU,MG,01/10/2022,3.789
SANTANA DO LIVRAMENTO,RS,01/10/2022,1.344
NOVA LIMA,MG,01/10/2022,18.668
CACHOEIRA DO SUL,RS,01/10/2022,1.193
UBATUBA,SP,01/10/2022,11.567
SAO ROQUE,SP,01/10/2022,14.047
ARACRUZ,ES,01/10/2022,5.420
SAO CRISTOVAO,SE,01/10/2022,2.555
PATROCINIO,MG,01/10/2022,6.010
IPOJUCA,PE,01/10/2022,5.710
SEROPEDICA,RJ,01/10/2022,7.984
PLANALTINA,GO,01/10/2022,1.380
CRUZEIRO,SP,01/10/2022,4.674
IJUI,RS,01/10/2022,4.360
TRES RIOS,RJ,01/10/2022,4.224
BARRA DO CORDA,MA,01/10/2022,80
MANHUACU,MG,01/10/2022,7.205
MATAO,SP,01/10/2022,10.585
ARUJA,SP,01/10/2022,31.386
SERRA TALHADA,PE,01/10/2022,862
GURUPI,TO,01/10/2022,2.079
ARARIPINA,PE,01/10/2022,2.881
FRANCISCO BELTRAO,PR,01/10/2022,4.166
QUIXADA,CE,01/10/2022,4.724
GUANAMBI,BA,01/10/2022,8.309
SAPIRANGA,RS,01/10/2022,12.126
SANTO ANGELO,RS,01/10/2022,8.057
JACOBINA,BA,01/10/2022,930
PINHEIRO,MA,01/10/2022,55
CARPINA,PE,01/10/2022,6.979
CAMPO LIMPO PAULISTA,SP,01/10/2022,19.277
JOAO MONLEVADE,MG,01/10/2022,3.515
CACOAL,RO,01/10/2022,3.224
BEBEDOURO,SP,01/10/2022,13.694
VILHENA,RO,01/10/2022,3.068
GRAVATA,PE,01/10/2022,3.064
PACATUBA,CE,01/10/2022,3.613
SERRINHA,BA,01/10/2022,3.326
CANINDE,CE,01/10/2022,7.609
LAJEADO,RS,01/10/2022,4.174
SAO BENTO DO SUL,SC,01/10/2022,1.166
ALFENAS,MG,01/10/2022,12.265
GOIANA,PE,01/10/2022,3.046
ALEGRETE,RS,01/10/2022,500
NOVA SERRANA,MG,01/10/2022,8.896
PONTA PORA,MS,01/10/2022,10.418
PATO BRANCO,PR,01/10/2022,3.914
VICOSA,MG,01/10/2022,12.014
CRUZEIRO DO SUL,AC,01/10/2022,1.404
SAO SEBASTIAO,SP,01/10/2022,9.959
TRES CORACOES,MG,01/10/2022,4.956
SAQUAREMA,RJ,01/10/2022,2.928
PICOS,PI,01/10/2022,2.320
LINS,SP,01/10/2022,16.877
JABOTICABAL,SP,01/10/2022,14.216
CURVELO,MG,01/10/2022,3.610
REDENCAO,PA,01/10/2022,871
TELEMACO BORBA,PR,01/10/2022,11.498
UNAI,MG,01/10/2022,16.105
CACADOR,SC,01/10/2022,985
BELO JARDIM,PE,01/10/2022,1.589
SAO FELIX DO XINGU,PA,01/10/2022,452
CATAGUASES,MG,01/10/2022,10.755
PIRASSUNUNGA,SP,01/10/2022,4.344
CRATEUS,CE,01/10/2022,6.341
CALDAS NOVAS,GO,01/10/2022,15.317
AQUIRAZ,CE,01/10/2022,5.928
RIO LARGO,AL,01/10/2022,2.076
IBIUNA,SP,01/10/2022,1.873
VALENCA,RJ,01/10/2022,1.300
PALMEIRA DOS INDIOS,AL,01/10/2022,2.152
ARCOVERDE,PE,01/10/2022,839
QUIXERAMOBIM,CE,01/10/2022,1.233
CIANORTE,PR,01/10/2022,18.406
OURO PRETO,MG,01/10/2022,28.274
VIANA,ES,01/10/2022,2.397
CAJAMAR,SP,01/10/2022,15.718
CHAPADINHA,MA,01/10/2022,1.138
ARACATI,CE,01/10/2022,3.431
TIANGUA,CE,01/10/2022,1.038
RUSSAS,CE,01/10/2022,4.862
CONCORDIA,SC,01/10/2022,2.799
DIAS DAVILA,BA,01/10/2022,6.252
CASTRO,PR,01/10/2022,897
CAMBORIU,SC,01/10/2022,13.908
SANTA ROSA,RS,01/10/2022,4.446
ITAPIRA,SP,01/10/2022,12.671
MOCOCA,SP,01/10/2022,2.206
CEARA MIRIM,RN,01/10/2022,648
MACAIBA,RN,01/10/2022,824
VINHEDO,SP,01/10/2022,31.032
FERNANDOPOLIS,SP,01/10/2022,3.388
SAO SEBASTIAO DO PARAISO,MG,01/10/2022,1.556
AMPARO,SP,01/10/2022,8.792
FORMIGA,MG,01/10/2022,8.631
CASCAVEL,CE,01/10/2022,925
EMBU GUACU,SP,01/10/2022,7.780
SOUSA,PB,01/10/2022,5.398
NAVEGANTES,SC,01/10/2022,11.972
VENANCIO AIRES,RS,01/10/2022,346
FARROUPILHA,RS,01/10/2022,13.997
TUPA,SP,01/10/2022,3.175
SORRISO,MT,01/10/2022,4.372
ESTANCIA,SE,01/10/2022,4.821
ICO,CE,01/10/2022,1.262
CAICO,RN,01/10/2022,2.896
CRUZ ALTA,RS,01/10/2022,4.138
CAMAQUA,RS,01/10/2022,1.111
LENCOIS PAULISTA,SP,01/10/2022,3.497
CAPANEMA,PA,01/10/2022,1.711
SANTO ANTONIO DO DESCOBERTO,GO,01/10/2022,1.134
OURICURI,PE,01/10/2022,131
ESCADA,PE,01/10/2022,1.699
ITAMARAJU,BA,01/10/2022,2.866
BRUMADO,BA,01/10/2022,433
PACAJUS,CE,01/10/2022,2.293
PESQUEIRA,PE,01/10/2022,1.051
VACARIA,RS,01/10/2022,491
CONCEICAO DO COITE,BA,01/10/2022,3.514
SAO BORJA,RS,01/10/2022,1.414
RIO DO SUL,SC,01/10/2022,4.139
CRUZ DAS ALMAS,BA,01/10/2022,1.519
ARARANGUA,SC,01/10/2022,10.102
JANUARIA,MG,01/10/2022,4.155
CARAZINHO,RS,01/10/2022,1.312
ITABERABA,BA,01/10/2022,1.522
COSMOPOLIS,SP,01/10/2022,11.083
PENAPOLIS,SP,01/10/2022,5.754
GOIANESIA,GO,01/10/2022,751
MORADA NOVA,CE,01/10/2022,540
CAMPO BOM,RS,01/10/2022,11.617
PENEDO,AL,01/10/2022,7.870
CAMOCIM,CE,01/10/2022,496
BOM JESUS DA LAPA,BA,01/10/2022,75
PEDRO LEOPOLDO,MG,01/10/2022,5.195
ROLANDIA,PR,01/10/2022,13.279
BIGUACU,SC,01/10/2022,6.407
UNIAO DOS PALMARES,AL,01/10/2022,322
BEZERROS,PE,01/10/2022,2.111
LUIS EDUARDO MAGALHAES,BA,01/10/2022,17.133
PERUIBE,SP,01/10/2022,4.112
MONTENEGRO,RS,01/10/2022,3.792
PALMARES,PE,01/10/2022,2.152
SURUBIM,PE,01/10/2022,438
CIDADE OCIDENTAL,GO,01/10/2022,1.747
GASPAR,SC,01/10/2022,2.215
ICARA,SC,01/10/2022,1.310
BATATAIS,SP,01/10/2022,1.036
GRAJAU,MA,01/10/2022,621
PONTE NOVA,MG,01/10/2022,3.455
SANTO AMARO,BA,01/10/2022,302
HORIZONTE,CE,01/10/2022,3.772
ACARAU,CE,01/10/2022,216
MORENO,PE,01/10/2022,999
UNIAO DA VITORIA,PR,01/10/2022,2.758
SANTA IZABEL DO PARA,PA,01/10/2022,233
LIMOEIRO DO NORTE,CE,01/10/2022,2.364
ANDRADINA,SP,01/10/2022,8.244
BARRA DO GARCAS,MT,01/10/2022,2.364
GUARABIRA,PB,01/10/2022,2.372
MIRASSOL,SP,01/10/2022,6.086
INDAIAL,SC,01/10/2022,10.220
SALGUEIRO,PE,01/10/2022,1.251
TRES PONTAS,MG,01/10/2022,841
SAO MIGUEL DOS CAMPOS,AL,01/10/2022,1.987
IRATI,PR,01/10/2022,2.553
RIO BONITO,RJ,01/10/2022,2.603
BARBALHA,CE,01/10/2022,5.001
IBITINGA,SP,01/10/2022,5.836
LAGOA SANTA,MG,01/10/2022,5.203
TAQUARA,RS,01/10/2022,3.140
PIRAPORA,MG,01/10/2022,1.917
TAUA,CE,01/10/2022,427
LIMOEIRO,PE,01/10/2022,1.906
CABEDELO,PB,01/10/2022,18.336
REGISTRO,SP,01/10/2022,695
TIMBAUBA,PE,01/10/2022,853
TAQUARITINGA,SP,01/10/2022,1.561
CACHOEIRAS DE MACACU,RJ,01/10/2022,121
CANOINHAS,SC,01/10/2022,993
MARIANA,MG,01/10/2022,9.485
PORTO FERREIRA,SP,01/10/2022,6.071
FRUTAL,MG,01/10/2022,960
GUAPIMIRIM,RJ,01/10/2022,2.412
SAO BENTO DO UNA,PE,01/10/2022,272
CAMPO BELO,MG,01/10/2022,16.038
SAO PAULO,SP,01/11/2022,1.840.686
RIO DE JANEIRO,RJ,01/11/2022,1.636.643
SALVADOR,BA,01/11/2022,367.396
BRASILIA,DF,01/11/2022,1.368.354
FORTALEZA,CE,01/11/2022,262.731
BELO HORIZONTE,MG,01/11/2022,711.726
MANAUS,AM,01/11/2022,341.654
CURITIBA,PR,01/11/2022,1.171.116
RECIFE,PE,01/11/2022,179.128
BELEM,PA,01/11/2022,201.999
PORTO ALEGRE,RS,01/11/2022,544.711
GOIANIA,GO,01/11/2022,699.858
GUARULHOS,SP,01/11/2022,131.634
CAMPINAS,SP,01/11/2022,387.613
SAO LUIS,MA,01/11/2022,165.802
SAO GONCALO,RJ,01/11/2022,186.410
MACEIO,AL,01/11/2022,104.769
DUQUE DE CAXIAS,RJ,01/11/2022,81.473
NATAL,RN,01/11/2022,257.036
TERESINA,PI,01/11/2022,258.647
NOVA IGUACU,RJ,01/11/2022,39.798
CAMPO GRANDE,MS,01/11/2022,203.157
JOAO PESSOA,PB,01/11/2022,333.063
SAO BERNARDO DO CAMPO,SP,01/11/2022,362.894
OSASCO,SP,01/11/2022,92.562
SANTO ANDRE,SP,01/11/2022,209.708
JABOATAO DOS GUARARAPES,PE,01/11/2022,76.649
SAO JOSE DOS CAMPOS,SP,01/11/2022,335.834
CONTAGEM,MG,01/11/2022,54.057
RIBEIRAO PRETO,SP,01/11/2022,231.216
UBERLANDIA,MG,01/11/2022,298.549
SOROCABA,SP,01/11/2022,374.679
ARACAJU,SE,01/11/2022,73.278
CUIABA,MT,01/11/2022,135.053
FEIRA DE SANTANA,BA,01/11/2022,87.149
JUIZ DE FORA,MG,01/11/2022,242.384
JOINVILLE,SC,01/11/2022,54.947
LONDRINA,PR,01/11/2022,213.766
BELFORD ROXO,RJ,01/11/2022,40.227
ANANINDEUA,PA,01/11/2022,78.478
SAO JOAO DE MERITI,RJ,01/11/2022,20.455
APARECIDA DE GOIANIA,GO,01/11/2022,53.469
NITEROI,RJ,01/11/2022,313.364
CAMPOS DOS GOYTACAZES,RJ,01/11/2022,145.602
CAXIAS DO SUL,RS,01/11/2022,32.815
MAUA,SP,01/11/2022,69.798
FLORIANOPOLIS,SC,01/11/2022,371.965
VILA VELHA,ES,01/11/2022,236.739
SANTOS,SP,01/11/2022,63.376
SAO JOSE DO RIO PRETO,SP,01/11/2022,113.326
PORTO VELHO,RO,01/11/2022,105.445
SERRA,ES,01/11/2022,139.783
DIADEMA,SP,01/11/2022,31.578
OLINDA,PE,01/11/2022,37.644
MACAPA,AP,01/11/2022,44.441
BETIM,MG,01/11/2022,122.268
CAMPINA GRANDE,PB,01/11/2022,45.605
MOGI DAS CRUZES,SP,01/11/2022,89.625
CARAPICUIBA,SP,01/11/2022,115.399
PIRACICABA,SP,01/11/2022,211.394
MONTES CLAROS,MG,01/11/2022,32.612
JUNDIAI,SP,01/11/2022,135.888
MARINGA,PR,01/11/2022,264.632
CARIACICA,ES,01/11/2022,66.004
BAURU,SP,01/11/2022,44.966
ANAPOLIS,GO,01/11/2022,60.160
RIO BRANCO,AC,01/11/2022,77.614
CANOAS,RS,01/11/2022,145.313
SAO VICENTE,SP,01/11/2022,17.690
VITORIA,ES,01/11/2022,137.841
PELOTAS,RS,01/11/2022,84.697
FRANCA,SP,01/11/2022,139.860
ITAQUAQUECETUBA,SP,01/11/2022,14.042
BLUMENAU,SC,01/11/2022,72.182
PONTA GROSSA,PR,01/11/2022,82.105
CARUARU,PE,01/11/2022,106.495
CAUCAIA,CE,01/11/2022,8.014
RIBEIRAO DAS NEVES,MG,01/11/2022,22.264
VITORIA DA CONQUISTA,BA,01/11/2022,72.016
PAULISTA,PE,01/11/2022,59.174
PETROPOLIS,RJ,01/11/2022,20.998
GUARUJA,SP,01/11/2022,39.247
UBERABA,MG,01/11/2022,109.148
PETROLINA,PE,01/11/2022,65.378
BOA VISTA,RR,01/11/2022,16.593
TAUBATE,SP,01/11/2022,68.790
CASCAVEL,PR,01/11/2022,103.972
SANTAREM,PA,01/11/2022,54.504
LIMEIRA,SP,01/11/2022,43.680
SUZANO,SP,01/11/2022,45.643
SAO JOSE DOS PINHAIS,PR,01/11/2022,88.304
